File Name,Elements,Atom Counts,Element Count,Total Atom Count
mp-639789.cif,"Fe, Re",Fe:8.0; Re:12.0,2,20.0
mp-639874.cif,"Ta, Al",Ta:20.0; Al:10.0,2,30.0
mp-639910.cif,"Y, Sn, Ru",Y:2.0; Sn:12.0; Ru:8.0,3,22.0
mp-640041.cif,"Nb, Zn",Nb:4.0; Zn:64.0,2,68.0
mp-641526.cif,"Fe, Co",Fe:13.0; Co:3.0,2,16.0
mp-642644.cif,"V, H",V:4.0; H:2.0,2,6.0
mp-642659.cif,"V, H",V:16.0; H:8.0,2,24.0
mp-643002.cif,"Mg, H, Os",Mg:8.0; H:24.0; Os:4.0,3,36.0
mp-643009.cif,"Sr, Mg, H",Sr:4.0; Mg:4.0; H:16.0,3,24.0
mp-643063.cif,"Nb, Se",Nb:4.0; Se:8.0,2,12.0
mp-643101.cif,"Rb, H, Pt",Rb:8.0; H:24.0; Pt:4.0,3,36.0
mp-643243.cif,"Cs, H, Pt",Cs:8.0; H:24.0; Pt:4.0,3,36.0
mp-643257.cif,"K, H, Pd",K:4.0; H:8.0; Pd:2.0,3,14.0
mp-643260.cif,"Na, H, Pd",Na:4.0; H:8.0; Pd:2.0,3,14.0
mp-643279.cif,"K, H, Pt",K:8.0; H:24.0; Pt:4.0,3,36.0
mp-643367.cif,"Y, C, Br",Y:4.0; C:4.0; Br:4.0,3,12.0
mp-643370.cif,"Ba, Mg, H",Ba:2.0; Mg:1.0; H:6.0,3,9.0
mp-643409.cif,"Ba, Y, Cu, O",Ba:8.0; Y:2.0; Cu:6.0; O:18.0,4,34.0
mp-644225.cif,"Sr, Mg, H",Sr:2.0; Mg:1.0; H:6.0,3,9.0
mp-644264.cif,"Ca, Mg, Fe, H",Ca:4.0; Mg:4.0; Fe:3.0; H:22.0,4,33.0
mp-644278.cif,"Y, H, C",Y:2.0; H:2.0; C:1.0,3,5.0
mp-644280.cif,"Ga, Cu, Pt",Ga:1.0; Cu:1.0; Pt:2.0,3,4.0
mp-644481.cif,"Sc, O",Sc:4.0; O:4.0,2,8.0
mp-645159.cif,"Fe, Bi, O",Fe:4.0; Bi:4.0; O:12.0,3,20.0
mp-646824.cif,"Ca, Ag",Ca:12.0; Ag:32.0,2,44.0
mp-647.cif,"Nb, S",Nb:2.0; S:2.0,2,4.0
mp-648.cif,"Na, S",Na:8.0; S:4.0,2,12.0
mp-649774.cif,"Cu, Sb, Pb, S",Cu:4.0; Sb:4.0; Pb:4.0; S:12.0,4,24.0
mp-650.cif,"Be, Pd",Be:20.0; Pd:4.0,2,24.0
mp-656887.cif,"Ni, O",Ni:6.0; O:8.0,2,14.0
mp-6606.cif,"Sr, Y, Si, N",Sr:2.0; Y:2.0; Si:8.0; N:14.0,4,26.0
mp-661.cif,"Al, N",Al:2.0; N:2.0,2,4.0
mp-662.cif,"Ni, Se",Ni:2.0; Se:2.0,2,4.0
mp-6668.cif,"Li, Ti, P, O",Li:4.0; Ti:4.0; P:4.0; O:20.0,4,32.0
mp-669546.cif,"Al, Pd",Al:39.0; Pd:39.0,2,78.0
mp-669692.cif,"Nb, Pd",Nb:6.0; Pd:18.0,2,24.0
mp-669918.cif,"V, Sn, Rh",V:2.0; Sn:2.0; Rh:4.0,3,8.0
mp-67.cif,Sc,Sc:2.0,1,2.0
mp-670.cif,"Nb, Co",Nb:8.0; Co:16.0,2,24.0
mp-672.cif,"Cd, S",Cd:2.0; S:2.0,2,4.0
mp-672254.cif,"Ca, Pd, Pb",Ca:3.0; Pd:3.0; Pb:3.0,3,9.0
mp-672287.cif,"Li, Si",Li:26.0; Si:8.0,2,34.0
mp-672299.cif,"Y, In, Ni",Y:3.0; In:3.0; Ni:3.0,3,9.0
mp-672340.cif,"Li, In, Ru",Li:4.0; In:8.0; Ru:4.0,3,16.0
mp-672371.cif,"Ni, Sb",Ni:6.0; Sb:2.0,2,8.0
mp-672645.cif,"Ti, Si, Rh",Ti:4.0; Si:4.0; Rh:4.0,3,12.0
mp-674478.cif,"Ba, C, O",Ba:6.0; C:6.0; O:18.0,3,30.0
mp-674490.cif,"Fe, Sb, O",Fe:2.0; Sb:2.0; O:8.0,3,12.0
mp-674948.cif,"V, Mo, O",V:2.0; Mo:2.0; O:10.0,3,14.0
mp-675.cif,"Zr, W",Zr:8.0; W:16.0,2,24.0
mp-675120.cif,"Cu, Si, Te",Cu:8.0; Si:4.0; Te:12.0,3,24.0
mp-675211.cif,"W, O",W:7.0; O:21.0,2,28.0
mp-675324.cif,"Ba, C, O",Ba:2.0; C:2.0; O:6.0,3,10.0
mp-675580.cif,"Nb, Cr, O",Nb:2.0; Cr:2.0; O:8.0,3,12.0
mp-675748.cif,"Zn, Ge, S",Zn:4.0; Ge:2.0; S:8.0,3,14.0
mp-675766.cif,"K, C, O",K:4.0; C:1.0; O:6.0,3,11.0
mp-676.cif,"Ca, N",Ca:8.0; N:48.0,2,56.0
mp-676058.cif,"V, Ni, S",V:9.0; Ni:3.0; S:18.0,3,30.0
mp-676512.cif,"Na, Al, F",Na:9.0; Al:3.0; F:18.0,3,30.0
mp-676586.cif,"Na, V, S",Na:1.0; V:2.0; S:4.0,3,7.0
mp-676828.cif,"Zn, Cu, As",Zn:4.0; Cu:4.0; As:4.0,3,12.0
mp-680677.cif,"Sn, Ru",Sn:12.0; Ru:8.0,2,20.0
mp-6812.cif,"K, Ba, P, O",K:4.0; Ba:4.0; P:4.0; O:16.0,4,28.0
mp-682.cif,"Na, F",Na:4.0; F:4.0,2,8.0
mp-684580.cif,"Ag, I",Ag:2.0; I:2.0,2,4.0
mp-684668.cif,"Ca, C",Ca:2.0; C:4.0,2,6.0
mp-684709.cif,"K, B",K:12.0; B:68.0,2,80.0
mp-685097.cif,"Hf, O",Hf:4.0; O:8.0,2,12.0
mp-685156.cif,"Mo, O",Mo:4.0; O:12.0,2,16.0
mp-685194.cif,"Li, Ti, O",Li:16.0; Ti:20.0; O:48.0,3,84.0
mp-689940.cif,"Co, P, O",Co:4.0; P:4.0; O:16.0,3,24.0
mp-690490.cif,"Ti, V, O",Ti:2.0; V:2.0; O:8.0,3,12.0
mp-690658.cif,"V, Cu, O",V:2.0; Cu:1.0; O:6.0,3,9.0
mp-690760.cif,"Ti, H",Ti:2.0; H:2.0,2,4.0
mp-690785.cif,"Na, H, Pt",Na:8.0; H:24.0; Pt:4.0,3,36.0
mp-6908.cif,"Y, Mg, Zn",Y:3.0; Mg:3.0; Zn:3.0,3,9.0
mp-691.cif,"Sn, Se",Sn:4.0; Se:4.0,2,8.0
mp-6914.cif,"Ca, Ga",Ca:4.0; Ga:4.0,2,8.0
mp-6915.cif,"As, Pd, O",As:2.0; Pd:1.0; O:6.0,3,9.0
mp-6919.cif,"Sc, Sn, Au",Sc:2.0; Sn:2.0; Au:2.0,3,6.0
mp-6926.cif,"Ca, P, Pd",Ca:2.0; P:4.0; Pd:4.0,3,10.0
mp-6931.cif,"Sr, Al, Si",Sr:1.0; Al:2.0; Si:2.0,3,5.0
mp-6938.cif,"Zn, Rh",Zn:1.0; Rh:1.0,2,2.0
mp-695.cif,"Ti, Co",Ti:8.0; Co:16.0,2,24.0
mp-6959.cif,"Ga, Ni, S",Ga:2.0; Ni:1.0; S:4.0,3,7.0
mp-696.cif,"Si, Pt",Si:4.0; Pt:4.0,2,8.0
mp-6962.cif,"Ba, As, Pd",Ba:2.0; As:4.0; Pd:4.0,3,10.0
mp-6963.cif,"Ba, Sb, Pd",Ba:2.0; Sb:4.0; Pd:4.0,3,10.0
mp-696497.cif,"Mg, Si, H, O",Mg:3.0; Si:4.0; H:2.0; O:12.0,4,21.0
mp-6969.cif,"Sc, Cu, Si",Sc:2.0; Cu:4.0; Si:4.0,3,10.0
mp-697030.cif,"Mg, H, Ru",Mg:8.0; H:24.0; Ru:4.0,3,36.0
mp-697096.cif,"Na, H, Pt",Na:4.0; H:8.0; Pt:2.0,3,14.0
mp-697111.cif,"H, O",H:16.0; O:8.0,2,24.0
mp-697179.cif,"Zr, H",Zr:2.0; H:2.0,2,4.0
mp-6972.cif,"Y, Cu, O",Y:3.0; Cu:3.0; O:6.0,3,12.0
mp-6980.cif,"Sc, Cu, S",Sc:1.0; Cu:1.0; S:2.0,3,4.0
mp-6985.cif,Ti,Ti:4.0,1,4.0
mp-6988.cif,"Fe, N",Fe:4.0; N:4.0,2,8.0
mp-6997.cif,"Sb, Te",Sb:6.0; Te:3.0,2,9.0
mp-700.cif,"Ge, Se",Ge:4.0; Se:4.0,2,8.0
mp-7000.cif,"Si, O",Si:3.0; O:6.0,2,9.0
mp-7002.cif,"Na, Ti, O",Na:3.0; Ti:3.0; O:6.0,3,12.0
mp-7006.cif,"Sr, Nb, O",Sr:1.0; Nb:1.0; O:3.0,3,5.0
mp-7017.cif,"Na, Nb, N",Na:3.0; Nb:3.0; N:6.0,3,12.0
mp-7032.cif,"Hf, Mo, P",Hf:3.0; Mo:3.0; P:3.0,3,9.0
mp-703260.cif,"Pb, W, O",Pb:2.0; W:2.0; O:8.0,3,12.0
mp-7038.cif,"Tl, Pd, Se",Tl:2.0; Pd:4.0; Se:6.0,3,12.0
mp-704645.cif,"Cu, O",Cu:4.0; O:4.0,2,8.0
mp-7048.cif,"Al, O",Al:8.0; O:12.0,2,20.0
mp-7066.cif,"Sc, Ni, Ge",Sc:4.0; Ni:4.0; Ge:4.0,3,12.0
mp-7068.cif,"Sr, Al, Si",Sr:6.0; Al:4.0; Si:4.0,3,14.0
mp-7070.cif,"Mn, Pt, N",Mn:3.0; Pt:1.0; N:1.0,3,5.0
mp-7080.cif,"Li, Ni, N",Li:5.0; Ni:3.0; N:3.0,3,11.0
mp-7088.cif,"Ta, C",Ta:2.0; C:1.0,2,3.0
mp-7089.cif,"K, Mg, Sb",K:2.0; Mg:2.0; Sb:2.0,3,6.0
mp-7090.cif,"Na, Mg, Sb",Na:2.0; Mg:2.0; Sb:2.0,3,6.0
mp-7092.cif,"Ti, Si",Ti:4.0; Si:4.0,2,8.0
mp-712.cif,"Y, Cu",Y:1.0; Cu:1.0,2,2.0
mp-7140.cif,"Si, C",Si:2.0; C:2.0,2,4.0
mp-715.cif,"Zr, Ir",Zr:8.0; Ir:16.0,2,24.0
mp-715553.cif,"V, O",V:4.0; O:8.0,2,12.0
mp-7173.cif,"Sc, Sb, Pt",Sc:4.0; Sb:4.0; Pt:4.0,3,12.0
mp-718.cif,"Sn, Pd",Sn:1.0; Pd:3.0,2,4.0
mp-7187.cif,"Ti, Al, Ni",Ti:4.0; Al:4.0; Ni:8.0,3,16.0
mp-7188.cif,"Al, Os",Al:4.0; Os:2.0,2,6.0
mp-7189.cif,"Al, Pd",Al:4.0; Pd:4.0,2,8.0
mp-7192.cif,"Sc, Sb",Sc:4.0; Sb:2.0,2,6.0
mp-7226.cif,"V, Ni",V:6.0; Ni:2.0,2,8.0
mp-7250.cif,"Nb, Co",Nb:18.0; Co:21.0,2,39.0
mp-728.cif,"Li, Pd",Li:2.0; Pd:1.0,2,3.0
mp-7285.cif,"Hf, Ni",Hf:9.0; Ni:27.0,2,36.0
mp-729.cif,"Cr, Si",Cr:6.0; Si:2.0,2,8.0
mp-730.cif,"P, Pt",P:8.0; Pt:4.0,2,12.0
mp-731.cif,"Mg, Hg",Mg:6.0; Hg:2.0,2,8.0
mp-733.cif,"Ge, O",Ge:3.0; O:6.0,2,9.0
mp-7339.cif,"Ba, Si, O",Ba:4.0; Si:4.0; O:12.0,3,20.0
mp-7343.cif,"Y, Pt",Y:12.0; Pt:4.0,2,16.0
mp-7350.cif,"Li, Y, Si",Li:2.0; Y:4.0; Si:4.0,3,10.0
mp-7352.cif,"Mg, Cu, P",Mg:4.0; Cu:4.0; P:4.0,3,12.0
mp-736.cif,"Li, P",Li:6.0; P:2.0,2,8.0
mp-7364.cif,"Ca, Si, Au",Ca:2.0; Si:4.0; Au:4.0,3,10.0
mp-7375.cif,"K, Nb, O",K:3.0; Nb:3.0; O:9.0,3,15.0
mp-7376.cif,"Sr, Al, Sn",Sr:6.0; Al:4.0; Sn:4.0,3,14.0
mp-7377.cif,"Ba, Al, Sn",Ba:6.0; Al:4.0; Sn:4.0,3,14.0
mp-738.cif,"Sb, Au",Sb:8.0; Au:4.0,2,12.0
mp-739.cif,"Ti, P",Ti:4.0; P:4.0,2,8.0
mp-7400.cif,"Na, Al, Ge",Na:2.0; Al:2.0; Ge:2.0,3,6.0
mp-742.cif,"Ti, Cu",Ti:4.0; Cu:2.0,2,6.0
mp-7421.cif,"K, Zn, As",K:2.0; Zn:2.0; As:2.0,3,6.0
mp-7422.cif,"Ca, Cu, P",Ca:2.0; Cu:4.0; P:4.0,3,10.0
mp-7424.cif,"B, Pd",B:2.0; Pd:4.0,2,6.0
mp-7426.cif,"Ba, Zn, P",Ba:2.0; Zn:4.0; P:4.0,3,10.0
mp-7427.cif,"Ba, Zn, As",Ba:4.0; Zn:8.0; As:8.0,3,20.0
mp-7429.cif,"Ca, Zn, Sb",Ca:1.0; Zn:2.0; Sb:2.0,3,5.0
mp-7430.cif,"Ca, Cd, Sb",Ca:1.0; Cd:2.0; Sb:2.0,3,5.0
mp-7431.cif,"Sr, Zn, Sb",Sr:1.0; Zn:2.0; Sb:2.0,3,5.0
mp-7432.cif,"Sr, Cd, Sb",Sr:1.0; Cd:2.0; Sb:2.0,3,5.0
mp-7433.cif,"Na, Cu, Se",Na:2.0; Cu:2.0; Se:2.0,3,6.0
mp-7434.cif,"Na, Cu, Te",Na:2.0; Cu:2.0; Te:2.0,3,6.0
mp-7435.cif,"K, Cu, Se",K:2.0; Cu:2.0; Se:2.0,3,6.0
mp-7436.cif,"K, Cu, Te",K:2.0; Cu:2.0; Te:2.0,3,6.0
mp-7437.cif,"K, Zn, P",K:2.0; Zn:2.0; P:2.0,3,6.0
mp-7438.cif,"K, Zn, Sb",K:2.0; Zn:2.0; Sb:2.0,3,6.0
mp-7443.cif,"Nb, Cr, Se",Nb:4.0; Cr:2.0; Se:8.0,3,14.0
mp-7473.cif,"Li, Cu, Si",Li:4.0; Cu:8.0; Si:4.0,3,16.0
mp-7482.cif,"Rb, Hg, F",Rb:1.0; Hg:1.0; F:3.0,3,5.0
mp-7483.cif,"K, Hg, F",K:1.0; Hg:1.0; F:3.0,3,5.0
mp-7486.cif,"Ba, Ni, S",Ba:2.0; Ni:2.0; S:4.0,3,8.0
mp-75.cif,Nb,Nb:2.0,1,2.0
mp-7506.cif,"Cr, Si",Cr:20.0; Si:12.0,2,32.0
mp-752398.cif,"Ba, Cu, O",Ba:1.0; Cu:1.0; O:2.0,3,4.0
mp-7524.cif,"Nb, P, Se",Nb:4.0; P:4.0; Se:4.0,3,12.0
mp-752456.cif,"Fe, O, F",Fe:4.0; O:2.0; F:6.0,3,12.0
mp-752463.cif,"Nb, N, O",Nb:4.0; N:4.0; O:4.0,3,12.0
mp-752465.cif,"Li, V, F",Li:2.0; V:2.0; F:8.0,3,12.0
mp-752496.cif,"Ti, O, F",Ti:4.0; O:4.0; F:4.0,3,12.0
mp-752504.cif,"V, Sn, O",V:2.0; Sn:2.0; O:8.0,3,12.0
mp-752607.cif,"Li, V, F",Li:6.0; V:6.0; F:18.0,3,30.0
mp-752764.cif,"Li, V, F",Li:6.0; V:6.0; F:18.0,3,30.0
mp-752939.cif,"Fe, O, F",Fe:4.0; O:4.0; F:4.0,3,12.0
mp-752941.cif,"Fe, O, F",Fe:2.0; O:2.0; F:2.0,3,6.0
mp-752945.cif,"Mn, Co, O",Mn:1.0; Co:1.0; O:4.0,3,6.0
mp-752947.cif,"Na, Ti, S",Na:1.0; Ti:1.0; S:2.0,3,4.0
mp-752955.cif,"W, O, F",W:2.0; O:2.0; F:8.0,3,12.0
mp-752958.cif,"V, O, F",V:2.0; O:2.0; F:2.0,3,6.0
mp-752974.cif,"V, O, F",V:2.0; O:2.0; F:4.0,3,8.0
mp-752975.cif,"Fe, O, F",Fe:4.0; O:4.0; F:4.0,3,12.0
mp-753.cif,"Zn, Sb",Zn:8.0; Sb:8.0,2,16.0
mp-753016.cif,"V, O, F",V:3.0; O:5.0; F:1.0,3,9.0
mp-753059.cif,"Ti, O, F",Ti:2.0; O:2.0; F:2.0,3,6.0
mp-753098.cif,"Li, Cu, F",Li:3.0; Cu:3.0; F:6.0,3,12.0
mp-753167.cif,"Fe, O, F",Fe:4.0; O:6.0; F:2.0,3,12.0
mp-753197.cif,"Hf, Ti, O",Hf:4.0; Ti:4.0; O:16.0,3,24.0
mp-753200.cif,"V, O, F",V:4.0; O:4.0; F:4.0,3,12.0
mp-753257.cif,"Li, Cu, F",Li:2.0; Cu:2.0; F:8.0,3,12.0
mp-753373.cif,"Li, V, F",Li:2.0; V:2.0; F:8.0,3,12.0
mp-753395.cif,"Fe, P, O",Fe:2.0; P:2.0; O:8.0,3,12.0
mp-753490.cif,"Ti, Cu, Ge",Ti:4.0; Cu:4.0; Ge:4.0,3,12.0
mp-753508.cif,"Li, Cu, S",Li:4.0; Cu:4.0; S:4.0,3,12.0
mp-753571.cif,"Li, V, F",Li:4.0; V:4.0; F:24.0,3,32.0
mp-753605.cif,"Li, Cu, S",Li:4.0; Cu:4.0; S:4.0,3,12.0
mp-753622.cif,"V, O, F",V:4.0; O:4.0; F:4.0,3,12.0
mp-753657.cif,"Ti, O, F",Ti:1.0; O:1.0; F:1.0,3,3.0
mp-753658.cif,"Al, Cr, O",Al:2.0; Cr:2.0; O:8.0,3,12.0
mp-753675.cif,"Li, V, F",Li:2.0; V:2.0; F:8.0,3,12.0
mp-753679.cif,"Nb, V, O",Nb:2.0; V:2.0; O:8.0,3,12.0
mp-753704.cif,"W, O, F",W:2.0; O:2.0; F:8.0,3,12.0
mp-753708.cif,"Ti, O, F",Ti:4.0; O:4.0; F:4.0,3,12.0
mp-753722.cif,"Li, Cu, S",Li:2.0; Cu:2.0; S:4.0,3,8.0
mp-753738.cif,"V, Co, O",V:3.0; Co:1.0; O:8.0,3,12.0
mp-753826.cif,"Li, Cu, S",Li:4.0; Cu:4.0; S:4.0,3,12.0
mp-753848.cif,"Li, Cu, O",Li:2.0; Cu:6.0; O:6.0,3,14.0
mp-753890.cif,"Ni, H",Ni:2.0; H:1.0,2,3.0
mp-753946.cif,"Li, Co, S",Li:1.0; Co:1.0; S:2.0,3,4.0
mp-754001.cif,"V, O, F",V:4.0; O:4.0; F:4.0,3,12.0
mp-754008.cif,"Ba, Cu, O",Ba:4.0; Cu:4.0; O:8.0,3,16.0
mp-754053.cif,"Fe, O, F",Fe:4.0; O:4.0; F:4.0,3,12.0
mp-754072.cif,"V, O, F",V:4.0; O:4.0; F:4.0,3,12.0
mp-754126.cif,"Cu, Au, O",Cu:3.0; Au:3.0; O:6.0,3,12.0
mp-754134.cif,"Hf, Zr, O",Hf:2.0; Zr:2.0; O:8.0,3,12.0
mp-754157.cif,"Al, In, O",Al:2.0; In:2.0; O:6.0,3,10.0
mp-754213.cif,"Li, Zr, Cu, O",Li:4.0; Zr:2.0; Cu:2.0; O:8.0,4,16.0
mp-754238.cif,"Li, Cu, Bi, O",Li:4.0; Cu:2.0; Bi:2.0; O:8.0,4,16.0
mp-754246.cif,"Ti, Sn, O",Ti:6.0; Sn:6.0; O:18.0,3,30.0
mp-754274.cif,"Mn, V, O",Mn:4.0; V:8.0; O:24.0,3,36.0
mp-754311.cif,"Mg, Re, O",Mg:1.0; Re:2.0; O:8.0,3,11.0
mp-754318.cif,"Mn, Zn, O",Mn:6.0; Zn:6.0; O:18.0,3,30.0
mp-754322.cif,"Sr, Cu, O",Sr:4.0; Cu:2.0; O:8.0,3,14.0
mp-754333.cif,"Ti, O",Ti:2.0; O:2.0,2,4.0
mp-754337.cif,"Li, V, F",Li:2.0; V:2.0; F:8.0,3,12.0
mp-754344.cif,"Li, Zn, O",Li:3.0; Zn:3.0; O:6.0,3,12.0
mp-754358.cif,"Zn, Se, O",Zn:4.0; Se:4.0; O:16.0,3,24.0
mp-754363.cif,"Ba, Hf, O",Ba:4.0; Hf:2.0; O:8.0,3,14.0
mp-754364.cif,"Y, Cu, O",Y:4.0; Cu:2.0; O:8.0,3,14.0
mp-754375.cif,"Na, Ti, O",Na:1.0; Ti:2.0; O:3.0,3,6.0
mp-7544.cif,"Zr, Si, Ru",Zr:3.0; Si:3.0; Ru:3.0,3,9.0
mp-754403.cif,"Zr, O",Zr:4.0; O:8.0,2,12.0
mp-754455.cif,"Sc, O",Sc:12.0; O:18.0,2,30.0
mp-754478.cif,"Hf, Zr, O",Hf:2.0; Zr:2.0; O:8.0,3,12.0
mp-754490.cif,"Ni, Hg, O",Ni:3.0; Hg:3.0; O:6.0,3,12.0
mp-754508.cif,"Mg, Fe, O",Mg:6.0; Fe:6.0; O:18.0,3,30.0
mp-754513.cif,"Zr, Mn, O",Zr:6.0; Mn:6.0; O:18.0,3,30.0
mp-754515.cif,"Ba, Mg, Ge",Ba:2.0; Mg:2.0; Ge:2.0,3,6.0
mp-754516.cif,"Li, Ni, P",Li:2.0; Ni:2.0; P:2.0,3,6.0
mp-754538.cif,"Hg, Pt, O",Hg:3.0; Pt:3.0; O:6.0,3,12.0
mp-754553.cif,"Zn, N",Zn:12.0; N:8.0,2,20.0
mp-754567.cif,"Na, Cd, O",Na:3.0; Cd:3.0; O:6.0,3,12.0
mp-754588.cif,"Zr, Bi, O",Zr:4.0; Bi:4.0; O:16.0,3,24.0
mp-754589.cif,"V, O, F",V:4.0; O:4.0; F:4.0,3,12.0
mp-754594.cif,"V, B, O",V:2.0; B:2.0; O:8.0,3,12.0
mp-754611.cif,"Nb, V, O",Nb:2.0; V:2.0; O:8.0,3,12.0
mp-754624.cif,"Al, O",Al:12.0; O:18.0,2,30.0
mp-754628.cif,"W, N",W:4.0; N:8.0,2,12.0
mp-754629.cif,"W, N",W:3.0; N:6.0,2,9.0
mp-754633.cif,"Zn, Co, O",Zn:3.0; Co:3.0; O:6.0,3,12.0
mp-754654.cif,"Ni, Sn, O",Ni:6.0; Sn:6.0; O:18.0,3,30.0
mp-754656.cif,"Li, Mn, O",Li:2.0; Mn:2.0; O:4.0,3,8.0
mp-754671.cif,"Y, Sc, O",Y:3.0; Sc:3.0; O:6.0,3,12.0
mp-754672.cif,"Ti, O",Ti:4.0; O:8.0,2,12.0
mp-754701.cif,"Ca, Ti, O",Ca:6.0; Ti:6.0; O:18.0,3,30.0
mp-754727.cif,"Li, Ni, S",Li:2.0; Ni:2.0; S:4.0,3,8.0
mp-754741.cif,"Zr, O",Zr:4.0; O:8.0,2,12.0
mp-754764.cif,"Fe, O, F",Fe:4.0; O:4.0; F:4.0,3,12.0
mp-754765.cif,"Fe, O",Fe:4.0; O:4.0,2,8.0
mp-754809.cif,"Mn, Nb, O",Mn:2.0; Nb:2.0; O:8.0,3,12.0
mp-754826.cif,"Cs, Sc, O",Cs:8.0; Sc:8.0; O:16.0,3,32.0
mp-754850.cif,"Na, Ti, S",Na:3.0; Ti:3.0; S:6.0,3,12.0
mp-754895.cif,"Li, V, F",Li:2.0; V:2.0; F:8.0,3,12.0
mp-754900.cif,"Ti, Fe, O",Ti:2.0; Fe:2.0; O:8.0,3,12.0
mp-754908.cif,"Nb, Cr, O",Nb:2.0; Cr:2.0; O:8.0,3,12.0
mp-754915.cif,"Na, Fe, O",Na:6.0; Fe:6.0; O:18.0,3,30.0
mp-754922.cif,"Li, V, O",Li:1.0; V:2.0; O:4.0,3,7.0
mp-754958.cif,"Rb, Fe, O",Rb:8.0; Fe:8.0; O:16.0,3,32.0
mp-754980.cif,"Zr, Mn, O",Zr:6.0; Mn:6.0; O:18.0,3,30.0
mp-755.cif,"Co, Sb",Co:4.0; Sb:8.0,2,12.0
mp-755000.cif,"Li, Ti, O",Li:2.0; Ti:2.0; O:4.0,3,8.0
mp-755017.cif,"V, Co, O",V:6.0; Co:2.0; O:16.0,3,24.0
mp-755045.cif,"Li, Ni, O",Li:1.0; Ni:2.0; O:4.0,3,7.0
mp-755071.cif,"Sn, O",Sn:4.0; O:8.0,2,12.0
mp-755089.cif,"Zr, O",Zr:4.0; O:8.0,2,12.0
mp-755095.cif,"V, O, F",V:4.0; O:6.0; F:2.0,3,12.0
mp-755115.cif,"Cu, Re, O",Cu:2.0; Re:2.0; O:8.0,3,12.0
mp-755166.cif,"Na, Co, O",Na:2.0; Co:2.0; O:4.0,3,8.0
mp-755176.cif,"Ni, Te, O",Ni:1.0; Te:1.0; O:4.0,3,6.0
mp-755190.cif,"Ta, V, O",Ta:4.0; V:4.0; O:16.0,3,24.0
mp-755264.cif,"Ti, O",Ti:1.0; O:1.0,2,2.0
mp-755297.cif,"Li, Co, O",Li:2.0; Co:1.0; O:2.0,3,5.0
mp-755300.cif,"Ti, O",Ti:3.0; O:3.0,2,6.0
mp-755302.cif,"Ti, Nb, O",Ti:2.0; Nb:2.0; O:8.0,3,12.0
mp-755309.cif,"Li, Nb, S",Li:3.0; Nb:1.0; S:4.0,3,8.0
mp-755313.cif,"Sc, O",Sc:12.0; O:18.0,2,30.0
mp-755318.cif,"Sc, H, O",Sc:2.0; H:2.0; O:4.0,3,8.0
mp-755325.cif,"Co, O, F",Co:4.0; O:4.0; F:4.0,3,12.0
mp-755328.cif,"Zr, Sn",Zr:8.0; Sn:16.0,2,24.0
mp-755359.cif,"Fe, O, F",Fe:4.0; O:4.0; F:4.0,3,12.0
mp-755378.cif,"Na, Pd, O",Na:2.0; Pd:2.0; O:4.0,3,8.0
mp-755390.cif,"Nb, Fe, O",Nb:2.0; Fe:2.0; O:8.0,3,12.0
mp-755394.cif,"V, O",V:8.0; O:16.0,2,24.0
mp-755453.cif,"Mn, P",Mn:8.0; P:32.0,2,40.0
mp-755483.cif,"Al, O",Al:6.0; O:9.0,2,15.0
mp-755554.cif,"Li, Fe, F",Li:2.0; Fe:2.0; F:8.0,3,12.0
mp-755570.cif,"Li, Ni, S",Li:1.0; Ni:2.0; S:2.0,3,5.0
mp-755584.cif,"Cr, Pt, O",Cr:3.0; Pt:3.0; O:6.0,3,12.0
mp-755587.cif,"V, O, F",V:8.0; O:12.0; F:4.0,3,24.0
mp-755596.cif,"Ti, Cr, O",Ti:2.0; Cr:2.0; O:8.0,3,12.0
mp-755628.cif,"Ta, Fe, O",Ta:2.0; Fe:2.0; O:8.0,3,12.0
mp-755629.cif,"Li, V, F",Li:2.0; V:2.0; F:8.0,3,12.0
mp-755657.cif,"Ti, V, O",Ti:6.0; V:6.0; O:18.0,3,30.0
mp-755690.cif,"Nb, O",Nb:4.0; O:8.0,2,12.0
mp-7557.cif,"Nb, Si, Sn",Nb:20.0; Si:4.0; Sn:8.0,3,32.0
mp-755704.cif,"V, Ni, O",V:6.0; Ni:2.0; O:16.0,3,24.0
mp-755715.cif,"Ti, V, O",Ti:2.0; V:6.0; O:16.0,3,24.0
mp-755718.cif,"Li, Fe, F",Li:4.0; Fe:2.0; F:8.0,3,14.0
mp-755759.cif,"Zr, O",Zr:4.0; O:8.0,2,12.0
mp-755769.cif,"Zr, O",Zr:8.0; O:16.0,2,24.0
mp-755875.cif,"Ti, O",Ti:6.0; O:8.0,2,14.0
mp-755939.cif,"Li, Co, O",Li:18.0; Co:4.0; O:16.0,3,38.0
mp-756018.cif,"Ba, Mg, O",Ba:3.0; Mg:3.0; O:6.0,3,12.0
mp-756134.cif,"Zr, Se, O",Zr:2.0; Se:2.0; O:2.0,3,6.0
mp-756214.cif,"Y, Al, O",Y:6.0; Al:6.0; O:18.0,3,30.0
mp-756361.cif,"Zr, Se, O",Zr:4.0; Se:4.0; O:4.0,3,12.0
mp-756381.cif,"Li, Fe, O",Li:1.0; Fe:2.0; O:3.0,3,6.0
mp-756398.cif,"Mn, V, O",Mn:9.0; V:3.0; O:24.0,3,36.0
